名字,角色,描述,版本,来源
Gekko,Initiator,Gekko the Angeleno leads a tig...,13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Fade,Initiator,Turkish bounty hunter Fade unl...,13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Breach,Initiator,The bionic Swede Breach fires ...,13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Deadlock,Sentinel,Norwegian operative Deadlock d...,13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Tejo,Initiator,A veteran intelligence consult...,13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Raze,Duelist,Raze explodes out of Brazil wi...,13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Chamber,Sentinel,"Well-dressed and well-armed, F...",13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
KAY/O,Initiator,KAY/O is a machine of war buil...,13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Skye,Initiator,"Hailing from Australia, Skye a...",13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Cypher,Sentinel,The Moroccan information broke...,13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Sova,Initiator,Born from the eternal winter o...,13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Miks,Controller,"Straight from Croatia, Miks ta...",13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Killjoy,Sentinel,"The genius of Germany, Killjoy...",13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Harbor,Controller,"Hailing from India’s coast, Ha...",13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Vyse,Sentinel,Metallic mastermind Vyse unlea...,13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Viper,Controller,"The American Chemist, Viper de...",13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Phoenix,Duelist,"Hailing from the U.K., Phoenix...",13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Veto,Sentinel,Empowered by an unstoppable DN...,13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Astra,Controller,Ghanaian Agent Astra harnesses...,13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Brimstone,Controller,"Joining from the U.S.A., Brims...",13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Iso,Duelist,Chinese fixer for hire Iso fal...,13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Clove,Controller,Scottish troublemaker Clove ma...,13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Neon,Duelist,Filipino Agent Neon surges for...,13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Yoru,Duelist,Japanese native Yoru rips hole...,13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Waylay,Duelist,Thailand's prismatic radiant W...,13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Sage,Sentinel,"The bastion of China, Sage cre...",13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Reyna,Duelist,"Forged in the heart of Mexico,...",13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Omen,Controller,"A phantom of a memory, Omen hu...",13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
Jett,Duelist,Representing her home country ...,13.05.00.5350494,https://valorant-api.com/v1/agents?isPlayableCharacter=true
