数据范围,年份,选手,战队,ACS,数据来源,数据状态,备注
VLR国际VCT年度筛选,2021,Derke,VIT,277,https://www.vlr.gg/stats?sort=rating2&dir=desc&tier=vct&region=intl&span=2021&side=all&role=all&agent=all&map_id=all&min_rounds=100&min_rating=0,已核验,VLR年度筛选结果；不是单届 Champions
VLR国际VCT年度筛选,2021,Sacy,,256,https://www.vlr.gg/stats?sort=rating2&dir=desc&tier=vct&region=intl&span=2021&side=all&role=all&agent=all&map_id=all&min_rounds=100&min_rating=0,已核验,VLR年度筛选结果；战队字段未在当前结果中核验
VLR国际VCT年度筛选,2021,ScreaM,,252,https://www.vlr.gg/stats?sort=rating2&dir=desc&tier=vct&region=intl&span=2021&side=all&role=all&agent=all&map_id=all&min_rounds=100&min_rating=0,已核验,VLR年度筛选结果；战队字段未在当前结果中核验
VLR国际VCT年度筛选,2022,Meteor,T1,279,https://www.vlr.gg/stats?sort=rating2&dir=desc&tier=vct&region=intl&span=2022&side=all&role=all&agent=all&map_id=all&min_rounds=100&min_rating=0,已核验,VLR年度筛选结果；不是单届 Champions
VLR国际VCT年度筛选,2022,ZmjjKK,EDG,272,https://www.vlr.gg/stats?sort=rating2&dir=desc&tier=vct&region=intl&span=2022&side=all&role=all&agent=all&map_id=all&min_rounds=100&min_rating=0,已核验,VLR年度筛选结果；不是单届 Champions
VLR国际VCT年度筛选,2022,Knight,BLG,238,https://www.vlr.gg/stats?sort=rating2&dir=desc&tier=vct&region=intl&span=2022&side=all&role=all&agent=all&map_id=all&min_rounds=100&min_rating=0,已核验,VLR年度筛选结果；不是单届 Champions
VLR国际VCT年度筛选,2024,cNed,,221,https://www.vlr.gg/stats?sort=rating2&dir=desc&tier=vct&region=intl&span=2024&side=all&role=all&agent=all&map_id=all&min_rounds=100&min_rating=0,已核验,VLR年度筛选结果；战队字段未在当前结果中核验
VLR国际VCT年度筛选,2024,Asuna,100T,206,https://www.vlr.gg/stats?sort=rating2&dir=desc&tier=vct&region=intl&span=2024&side=all&role=all&agent=all&map_id=all&min_rounds=100&min_rating=0,已核验,VLR年度筛选结果；不是单届 Champions
VLR国际VCT年度筛选,2024,paTiTek,BRAT,197,https://www.vlr.gg/stats?sort=rating2&dir=desc&tier=vct&region=intl&span=2024&side=all&role=all&agent=all&map_id=all&min_rounds=100&min_rating=0,已核验,VLR年度筛选结果；不是单届 Champions
VLR国际VCT年度筛选,2025,Derke,VIT,261,https://www.vlr.gg/stats?sort=rating2&dir=desc&tier=vct&region=intl&span=2025&side=all&role=all&agent=all&map_id=all&min_rounds=100&min_rating=0,已核验,VLR年度筛选结果；不是单届 Champions
VLR国际VCT年度筛选,2025,t3xture,GEN,254,https://www.vlr.gg/stats?sort=rating2&dir=desc&tier=vct&region=intl&span=2025&side=all&role=all&agent=all&map_id=all&min_rounds=100&min_rating=0,已核验,VLR年度筛选结果；不是单届 Champions
VLR国际VCT年度筛选,2025,Alfajer,FNC,235,https://www.vlr.gg/stats?sort=rating2&dir=desc&tier=vct&region=intl&span=2025&side=all&role=all&agent=all&map_id=all&min_rounds=100&min_rating=0,已核验,VLR年度筛选结果；不是单届 Champions
VLR国际VCT年度筛选,2026,primmie,FS,281,https://www.vlr.gg/stats?sort=rating2&dir=desc&tier=vct&region=intl&span=2026&side=all&role=all&agent=all&map_id=all&min_rounds=100&min_rating=0,已核验,截止当前公开页面；不是 London Masters 单届数据
VLR国际VCT年度筛选,2026,marteen,M8,268,https://www.vlr.gg/stats?sort=rating2&dir=desc&tier=vct&region=intl&span=2026&side=all&role=all&agent=all&map_id=all&min_rounds=100&min_rating=0,已核验,截止当前公开页面；不是 London Masters 单届数据
VLR国际VCT年度筛选,2026,Derke,VIT,253,https://www.vlr.gg/stats?sort=rating2&dir=desc&tier=vct&region=intl&span=2026&side=all&role=all&agent=all&map_id=all&min_rounds=100&min_rating=0,已核验,截止当前公开页面；不是 London Masters 单届数据
